[2024-04-28 08:44:04] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-04-28 08:44:04] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2024-04-28 08:44:04] [class-ss-archive-creation-job.php:98] Pushing first task to queue: setup
[2024-04-28 08:44:05] [class-ss-archive-creation-job.php:132] Current task: setup
[2024-04-28 08:44:05] [class-ss-archive-creation-job.php:149] Performing task: setup
[2024-04-28 08:44:05] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-04-28 08:44:06] [class-ss-setup-task.php:33] Creating archive directory: /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1714293844/
[2024-04-28 08:44:06] [class-ss-setup-task.php:79] Adding origin URL to queue: http://luminr.local/
[2024-04-28 08:44:06] [class-ss-setup-task.php:145] Adding files from directory: /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads
[2024-04-28 08:44:06] [class-ss-setup-task.php:150] Adding file /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads/2024/04/Group-19.png to queue as: http://luminr.local/wp-content/uploads/2024/04/Group-19.png
[2024-04-28 08:44:06] [class-ss-setup-task.php:150] Adding file /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads/2024/04/new-Shopify-768x768.png to queue as: http://luminr.local/wp-content/uploads/2024/04/new-Shopify-768x768.png
[2024-04-28 08:44:06] [class-ss-setup-task.php:150] Adding file /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads/2024/04/Communities-3-1-150x150.png to queue as: http://luminr.local/wp-content/uploads/2024/04/Communities-3-1-150x150.png
[2024-04-28 08:44:06] [class-ss-setup-task.php:150] Adding file /Users/soyprayatna/Local Sites/luminr/app/public/wp-content/uploads/2024/04/Slice-1.png to queue as: http://luminr.local/wp-content/uploads/2024/04/Slice-1.png
